T X Y S0 S1 S2 S3 
0 9016.328 8437.916 4 19 28 40 
1 9016.328 8437.916 5 18 29 41 
2 9016.328 8437.916 4 9 29 59 
3 9016.328 8437.916 4 13 26 57 
4 9016.328 8437.916 3 8 23 42 
5 9016.328 8437.916 3 19 27 59 
6 9016.328 8437.916 3 15 20 53 
7 9016.328 8437.916 5 18 29 56 
8 9016.328 8437.916 5 15 29 59 
9 9016.328 8437.916 5 17 27 51 
10 9016.328 8437.916 5 12 20 42 
11 9016.328 8437.916 4 16 21 55 
12 9016.328 8437.916 3 10 29 46 
13 9016.328 8437.916 4 11 25 57 
14 9016.328 8437.916 3 15 29 57 
15 9016.328 8437.916 4 11 23 51 
16 9016.328 8437.916 5 16 21 45 
17 9016.328 8437.916 4 14 23 53 
18 9016.328 8437.916 4 14 26 56 
19 9016.328 8437.916 5 9 29 48 
