T X Y S0 S1 S2 S3 
0 9657.375 7703.351 3 8 20 40 
1 9657.375 7703.351 3 8 20 40 
2 9670.254 7692.232 3 8 20 40 
3 9689.413 7672.895 3 8 20 40 
4 9721.494 7636.779 3 8 20 40 
5 9726.791 7631.097 3 8 20 40 
6 9732.185 7624.658 3 8 20 40 
7 9792.814 7555.139 3 8 20 40 
8 9833.51 7508.437 3 8 20 40 
9 9844.209 7496.428 3 8 20 40 
10 9896.744 7437.829 3 8 20 40 
11 9933.317 7396.242 3 8 20 40 
12 9960.506 7365.997 3 8 20 40 
13 10012.254 7306.73 3 8 20 40 
14 10032.339 7284.491 3 8 20 40 
15 10103.996 7204.875 3 8 20 40 
16 10166.272 7133.043 3 8 20 40 
17 10275.643 7015.177 3 8 20 40 
18 10385.001 6896.443 3 8 20 40 
19 10421.209 6857.135 3 8 20 40 
20 10426.875 6850.986 3 8 20 40 
21 10429.656 6847.973 3 8 20 40 
22 10437.357 6839.611 3 8 20 40 
23 10442.129 6834.429 3 8 20 40 
24 10442.129 6834.429 3 8 20 40 
