T X Y S0 
0 6593.798 8017.265 6 
1 6593.798 8017.265 6 
2 6600.879 8022.914 6 
3 6667.168 8075.865 6 
4 6708.862 8109.179 6 
5 6714.306 8113.527 6 
6 6775.316 8162.264 6 
7 6816.537 8195.177 6 
8 6845.924 8220.118 6 
9 6858.369 8230.648 6 
10 6868.512 8238.855 6 
11 6889.962 8256.223 6 
12 6911.605 8273.503 6 
13 6935.007 8292.184 6 
14 6942.472 8298.144 6 
15 6973.681 8322.651 6 
16 7011.435 8352.296 6 
17 7021.587 8360.524 6 
18 7035.937 8374.424 6 
19 7044.25 8381.762 6 
20 7049.727 8388.656 6 
21 7053.786 8393.771 6 
22 7057.109 8398.442 6 
23 7062.97 8406.448 6 
24 7062.97 8406.448 6 
